# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length N_events scatt_det
3.403000e-01 6.236000e-01 3.469947e-04 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 1.517605e+02 1.204032e-08 3.470294e+04 1.000000e+00
1.403000e+00 1.061000e-01 6.757937e-07 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.496044e+01 1.418648e+05 6.758613e+01 1.010952e-01
1.777000e+00 5.541000e-01 2.170953e-06 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.097604e+01 8.876868e+01 2.171170e+02 9.832776e-01
1.885000e-01 3.455000e-01 1.065607e-02 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.252560e+02 2.171820e-08 1.065714e+06 1.000000e+00
1.176000e-01 5.223000e-02 3.914054e-01 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.276457e+02 2.138593e+02 3.914445e+07 1.892594e-01
5.144000e-02 2.031000e-02 2.227230e+00 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.277101e+02 9.114312e+02 2.227452e+08 2.815381e-02
5.144000e-02 1.000000e+00 4.669068e-04 1.000047e-02 1.414210e-02 1.000000e-02 9.999973e-03 2.632920e+02 5.249361e-11 4.669509e+04 1.000000e+00
2.122000e-01 1.604000e-02 2.404510e-05 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 6.407575e+01 9.507564e+05 2.404750e+03 4.735441e-02
9.283000e-02 8.886000e-01 9.427253e-04 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.936980e+02 2.437258e-10 9.428195e+04 1.000000e+00
1.403000e+00 8.886000e-01 6.511149e-07 1.000032e-02 1.414188e-02 1.000000e-02 9.999818e-03 3.432929e+01 2.593476e+00 6.511563e+01 1.000000e+00
8.751000e-01 6.615000e-02 1.881537e-06 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 1.559845e+01 2.277631e+05 1.881725e+02 9.337144e-02
1.108000e+00 2.285000e-02 5.109239e-10 1.000041e-02 1.414201e-02 1.000000e-02 9.999914e-03 3.179620e+01 1.201247e+08 5.109662e-02 1.019567e-01
1.675000e-01 1.061000e-01 1.201071e-01 1.000044e-02 1.414205e-02 1.000000e-02 9.999941e-03 3.274204e+02 2.169129e+01 1.201176e+07 9.895785e-01
2.251000e-02 4.924000e-01 1.632787e-01 4.743562e-06 6.708410e-06 1.000000e-02 4.743562e-06 3.148826e+01 3.741734e-04 3.673996e+00 1.000000e+00
6.141000e-01 1.061000e-01 3.724478e-04 1.000049e-02 1.414212e-02 1.000000e-02 9.999989e-03 2.560947e+02 5.125091e+03 3.724842e+04 9.713883e-02
8.249000e-02 3.665000e-02 1.122762e+00 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.276983e+02 3.045066e+02 1.122874e+08 8.902415e-02
4.571000e-02 1.061000e-01 3.795928e+00 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.277217e+02 3.815784e-08 3.796307e+08 1.000000e+00
4.849000e-01 1.194000e-01 2.475501e-03 1.000039e-02 1.414197e-02 1.000000e-02 9.999885e-03 3.153277e+02 1.083196e+03 2.475692e+05 1.484554e-01
6.514000e-02 2.572000e-02 1.490538e+00 1.000047e-02 1.414209e-02 1.000000e-02 9.999968e-03 3.277029e+02 7.177300e+02 1.490678e+08 3.785716e-02
4.309000e-01 9.427000e-02 2.585327e-03 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.141769e+02 2.218419e+03 2.585586e+05 9.702718e-02
