# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_geometry eff_selection eff_final
1.250000e+00 1.524000e+00 1.451429e+00 5.000000e-02 1.016643e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.172079e+01 5.013768e+00 1.016645e+00 8.529278e-01 1.096392e-01 9.351428e-02
1.250000e+00 2.275000e-01 2.166667e-01 5.000000e-02 7.744939e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.178369e+01 6.893359e+04 7.744955e-01 1.174474e-03 9.424980e-02 1.106939e-04
1.250000e+00 2.986000e-01 2.843809e-01 5.000000e-02 3.496452e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.168810e+01 1.757690e+04 3.496459e+00 5.270996e-03 9.651151e-02 5.087117e-04
1.250000e+00 2.000000e+00 1.904762e+00 5.000000e-02 8.163715e-08 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.179456e+01 1.285016e+00 8.163732e-02 8.763329e-01 1.135681e-01 9.952347e-02
1.250000e+00 6.746000e-01 6.424762e-01 5.000000e-02 1.035993e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.140712e+01 2.962372e+02 1.035995e+01 3.633771e-02 9.796668e-02 3.559884e-03
1.250000e+00 3.891000e-02 3.705714e-02 5.000000e-02 1.287268e-11 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 9.245747e+08 1.287271e-05 1.449155e-08 9.432156e-02 1.366866e-09
1.250000e+00 4.488000e-01 4.274286e-01 5.000000e-02 1.419910e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.131186e+01 2.278681e+03 1.419913e+01 2.555651e-02 9.726614e-02 2.485783e-03
1.250000e+00 5.141000e-01 4.896191e-01 5.000000e-02 1.456605e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.129452e+01 1.153629e+03 1.456607e+01 2.946931e-02 9.722207e-02 2.865067e-03
1.250000e+00 2.606000e-01 2.481905e-01 5.000000e-02 1.689698e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.175353e+01 3.481319e+04 1.689702e+00 2.587833e-03 9.567290e-02 2.475855e-04
1.250000e+00 7.674000e-02 7.308571e-02 5.000000e-02 1.061394e-09 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180200e+01 1.810201e+07 1.061396e-03 1.590647e-06 9.575687e-02 1.523154e-07
