# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_geometry eff_selection eff_final
2.000000e-02 1.777000e+00 1.500000e-02 1.174667e+02 2.943066e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.196427e+01 1.414404e-16 2.943072e+00 1.000000e+00 4.205985e-02 4.205985e-02
2.000000e-02 1.885000e-01 1.500000e-02 1.156667e+01 3.600944e+01 7.614910e-06 1.000000e+00 1.000000e-02 3.807455e-06 9.184233e+00 1.207953e-13 5.220184e+02 1.000000e+00 1.053192e-01 1.053192e-01
2.000000e-02 4.849000e-01 1.500000e-02 3.132667e+01 7.259732e-01 5.301592e-05 1.000000e+00 1.000000e-02 2.650796e-05 1.531703e+01 6.979664e-15 5.101210e+02 1.000000e+00 7.985155e-02 7.985155e-02
2.000000e-02 9.283000e-02 1.500000e-02 5.188667e+00 8.697343e+01 5.161392e-06 1.000000e+00 1.000000e-02 2.580696e-06 6.767519e+00 1.081413e-12 5.792423e+02 1.000000e+00 1.121922e-01 1.121922e-01
2.000000e-02 1.403000e+00 1.500000e-02 9.253333e+01 6.315342e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.640161e+01 2.874343e-16 6.315355e+01 1.000000e+00 4.341203e-02 4.341203e-02
2.000000e-02 2.122000e-01 1.500000e-02 1.314667e+01 2.706159e+01 8.818248e-06 1.000000e+00 1.000000e-02 4.409124e-06 9.629000e+00 8.432330e-14 5.260874e+02 1.000000e+00 1.032232e-01 1.032232e-01
2.000000e-02 1.247000e+00 1.500000e-02 8.213333e+01 2.297512e-04 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 4.843393e+01 4.093651e-16 2.297517e+02 1.000000e+00 4.487722e-02 4.487722e-02
2.000000e-02 1.579000e+00 1.500000e-02 1.042667e+02 1.523001e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.272965e+01 2.016070e-16 1.523004e+01 1.000000e+00 4.264297e-02 4.264297e-02
2.000000e-02 1.176000e-01 1.500000e-02 6.840000e+00 7.357407e+01 5.540408e-06 1.000000e+00 1.000000e-02 2.770204e-06 7.352171e+00 5.138516e-13 5.646096e+02 1.000000e+00 1.109028e-01 1.109028e-01
2.000000e-02 2.000000e+00 1.500000e-02 1.323333e+02 3.942582e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.182220e+01 9.920839e-17 3.942590e-01 1.000000e+00 4.169597e-02 4.169597e-02
2.000000e-02 1.323000e-01 1.500000e-02 7.820000e+00 6.447597e+01 5.924112e-06 1.000000e+00 1.000000e-02 2.962056e-06 7.190822e+00 3.568032e-13 5.656976e+02 1.000000e+00 1.100321e-01 1.100321e-01
2.000000e-02 8.249000e-02 1.500000e-02 4.499333e+00 9.303961e+01 5.062321e-06 1.000000e+00 1.000000e-02 2.531160e-06 6.427424e+00 1.581767e-12 5.960837e+02 1.000000e+00 1.126370e-01 1.126370e-01
