# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events
2.000000e-02 1.179000e+00 2.500000e-01 3.716000e+00 4.518053e-08 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180367e+01 5.558398e-16 4.518062e-02
2.000000e-02 3.891000e-01 2.500000e-01 5.563999e-01 3.067464e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 1.289763e+01 6.654700e-14 3.067471e+02
2.000000e-02 1.061000e+00 2.500000e-01 3.244000e+00 1.297489e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180488e+01 7.885524e-16 1.297492e-01
2.000000e-02 2.834000e-01 2.500000e-01 1.336000e-01 1.137959e-03 8.204151e-04 1.000000e+00 1.000000e-04 4.102076e-04 1.866911e+01 3.385069e-12 1.914846e+02
2.000000e-02 3.150000e-01 2.500000e-01 2.600000e-01 9.253414e-04 1.443281e-03 1.000000e+00 1.000000e-04 7.216407e-04 8.713935e+00 5.025863e-13 4.818857e+02
2.000000e-02 4.324000e-01 2.500000e-01 7.296000e-01 1.695291e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 1.949361e+01 3.326862e-14 1.695294e+02
2.000000e-02 1.800000e+00 2.500000e-01 6.200000e+00 3.034527e-10 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180205e+01 1.442498e-16 3.034533e-04
2.000000e-02 2.988000e-01 2.500000e-01 1.952000e-01 1.116471e-03 1.095708e-03 1.000000e+00 1.000000e-04 5.478541e-04 1.260800e+01 1.115033e-12 3.351023e+02
2.000000e-02 1.382000e+00 2.500000e-01 4.528000e+00 8.408091e-09 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180242e+01 3.321824e-16 8.408108e-03
2.000000e-02 1.311000e+00 2.500000e-01 4.244000e+00 1.486865e-08 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180271e+01 3.935603e-16 1.486868e-02
2.000000e-02 1.119000e+00 2.500000e-01 3.476000e+00 7.649326e-08 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180425e+01 6.603497e-16 7.649342e-02
2.000000e-02 6.258000e-01 2.500000e-01 1.503200e+00 1.363561e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.083466e+01 5.454663e-15 1.363564e+01
2.000000e-02 4.806000e-01 2.500000e-01 9.224000e-01 8.773940e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.484714e+01 1.841998e-14 8.773957e+01
2.000000e-02 1.897000e+00 2.500000e-01 6.588000e+00 1.350959e-10 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180204e+01 1.225129e-16 1.350962e-04
2.000000e-02 8.591000e-01 2.500000e-01 2.436400e+00 9.559746e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.178708e+01 1.631864e-15 9.559765e-01
2.000000e-02 1.619000e+00 2.500000e-01 5.476000e+00 1.305047e-09 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180210e+01 2.010203e-16 1.305049e-03
2.000000e-02 4.559000e-01 2.500000e-01 8.236001e-01 1.209265e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.248912e+01 2.448911e-14 1.209267e+02
3.207000e-02 3.891000e-01 2.500000e-01 5.563999e-01 2.472837e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 1.480326e+01 1.713089e-13 2.472842e+02
2.000000e-02 9.057000e-01 2.500000e-01 2.622800e+00 5.918751e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.179762e+01 1.354703e-15 5.918762e-01
2.000000e-02 1.536000e+00 2.500000e-01 5.144000e+00 2.506820e-09 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180216e+01 2.373214e-16 2.506825e-03
2.000000e-02 6.955000e-01 2.500000e-01 1.782000e+00 6.013609e-06 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.145977e+01 3.572218e-15 6.013621e+00
2.000000e-02 4.102000e-01 2.500000e-01 6.408000e-01 2.265043e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 1.633259e+01 4.630164e-14 2.265048e+02
2.000000e-02 1.457000e+00 2.500000e-01 4.828000e+00 4.663405e-09 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180227e+01 2.806057e-16 4.663414e-03
3.207000e-02 3.691000e-01 2.500000e-01 4.764000e-01 3.229226e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 1.140688e+01 2.565462e-13 3.229233e+02
2.000000e-02 5.341000e-01 2.500000e-01 1.136400e+00 4.296464e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.827859e+01 1.093698e-14 4.296473e+01
2.000000e-02 5.631000e-01 2.500000e-01 1.252400e+00 2.997108e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.943891e+01 8.587052e-15 2.997114e+01
2.000000e-02 3.691000e-01 2.500000e-01 4.764000e-01 4.199463e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 9.566924e+00 9.957025e-14 4.199471e+02
3.609000e-02 8.149000e-01 2.500000e-01 2.259600e+00 1.402378e-06 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.175894e+01 6.423028e-15 1.402381e+00
2.000000e-02 7.730000e-01 2.500000e-01 2.092000e+00 2.438903e-06 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.171129e+01 2.393062e-15 2.438907e+00
2.000000e-02 7.333000e-01 2.500000e-01 1.933200e+00 3.837686e-06 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.162270e+01 2.915162e-15 3.837693e+00
2.000000e-02 9.548000e-01 2.500000e-01 2.819200e+00 3.633050e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180373e+01 1.128098e-15 3.633057e-01
