# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events
3.207000e-02 5.144000e-02 1.500000e-02 2.429333e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 4.117542e-11 0.000000e+00
3.207000e-02 2.000000e+00 1.500000e-02 1.323333e+02 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.550683e-16 0.000000e+00
3.207000e-02 2.388000e-01 1.500000e-02 1.492000e+01 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.517609e-13 0.000000e+00
3.609000e-02 6.514000e-02 1.500000e-02 3.342667e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.543938e-11 0.000000e+00
4.062000e-02 5.789000e-02 1.500000e-02 2.859333e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 7.449723e-11 0.000000e+00
3.207000e-02 6.514000e-02 1.500000e-02 3.342667e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.069605e-11 0.000000e+00
2.000000e-02 6.514000e-02 1.500000e-02 3.342667e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 3.489866e-12 0.000000e+00
3.609000e-02 9.283000e-02 1.500000e-02 5.188667e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 3.755234e-12 0.000000e+00
3.207000e-02 4.309000e-01 1.500000e-02 2.772667e+01 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.559539e-14 0.000000e+00
4.062000e-02 9.283000e-02 1.500000e-02 5.188667e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 4.961792e-12 0.000000e+00
4.062000e-02 2.000000e+00 1.500000e-02 1.323333e+02 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 4.092152e-16 0.000000e+00
2.251000e-02 4.062000e-02 1.500000e-02 1.708000e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 4.388120e-11 0.000000e+00
2.850000e-02 4.571000e-02 1.500000e-02 2.047333e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 6.217651e-11 0.000000e+00
4.062000e-02 3.403000e-01 1.500000e-02 2.168667e+01 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 8.359682e-14 0.000000e+00
2.251000e-02 8.249000e-02 1.500000e-02 4.499333e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.017467e-12 0.000000e+00
4.062000e-02 1.489000e-01 1.500000e-02 8.926667e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.039377e-12 0.000000e+00
4.062000e-02 5.457000e-01 1.500000e-02 3.538000e+01 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.019001e-14 0.000000e+00
3.207000e-02 9.283000e-02 1.500000e-02 5.188667e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.887748e-12 0.000000e+00
2.850000e-02 9.283000e-02 1.500000e-02 5.188667e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.243052e-12 0.000000e+00
4.062000e-02 4.849000e-01 1.500000e-02 3.132667e+01 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.879412e-14 0.000000e+00
3.609000e-02 5.144000e-02 1.500000e-02 2.429333e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.015553e-10 0.000000e+00
4.062000e-02 7.776000e-01 1.500000e-02 5.084000e+01 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 6.969649e-15 0.000000e+00
2.850000e-02 1.885000e-01 1.500000e-02 1.156667e+01 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.455872e-13 0.000000e+00
2.251000e-02 5.789000e-02 1.500000e-02 2.859333e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 6.958722e-12 0.000000e+00
3.207000e-02 3.024000e-01 1.500000e-02 1.916000e+01 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 7.435495e-14 0.000000e+00
4.062000e-02 1.885000e-01 1.500000e-02 1.156667e+01 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 5.013108e-13 0.000000e+00
3.609000e-02 1.176000e-01 1.500000e-02 6.840000e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.714535e-12 0.000000e+00
4.062000e-02 1.176000e-01 1.500000e-02 6.840000e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.206842e-12 0.000000e+00
3.207000e-02 1.176000e-01 1.500000e-02 6.840000e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.340327e-12 0.000000e+00
3.207000e-02 1.885000e-01 1.500000e-02 1.156667e+01 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 3.112618e-13 0.000000e+00
2.251000e-02 1.675000e-01 1.500000e-02 1.016667e+01 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.193373e-13 0.000000e+00
4.062000e-02 1.675000e-01 1.500000e-02 1.016667e+01 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 7.209554e-13 0.000000e+00
3.609000e-02 2.000000e+00 1.500000e-02 1.323333e+02 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 3.230103e-16 0.000000e+00
3.207000e-02 3.403000e-01 1.500000e-02 2.168667e+01 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 5.208795e-14 0.000000e+00
2.000000e-02 1.777000e+00 1.500000e-02 1.174667e+02 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.414413e-16 0.000000e+00
2.850000e-02 6.514000e-02 1.500000e-02 3.342667e+00 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 7.809860e-12 0.000000e+00
4.062000e-02 9.848000e-01 1.500000e-02 6.465333e+01 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 3.429830e-15 0.000000e+00
3.207000e-02 2.122000e-01 1.500000e-02 1.314667e+01 0.000000e+00 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.170976e-13 0.000000e+00
