# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_selection eff_final
1.250000e+00 3.420000e-01 3.257143e-01 5.000000e-02 3.395920e-10 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180202e+01 1.389579e+06 3.395927e-04 9.591678e-02 8.242699e-06
1.250000e+00 8.790000e-02 8.371428e-02 5.000000e-02 1.029595e-13 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.381626e+09 1.029597e-07 9.458357e-02 2.171531e-09
1.250000e+00 3.891000e-02 3.705714e-02 5.000000e-02 4.632015e-16 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.444505e+11 4.632024e-10 9.376708e-02 9.290545e-12
1.250000e+00 1.153000e-01 1.098095e-01 5.000000e-02 5.091848e-13 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 3.385376e+08 5.091858e-07 9.458295e-02 1.176786e-08
1.250000e+00 2.606000e-01 2.481905e-01 5.000000e-02 7.101363e-11 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 5.436781e+06 7.101377e-05 9.553184e-02 1.692894e-06
1.250000e+00 1.321000e-01 1.258095e-01 5.000000e-02 1.178446e-12 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.688148e+08 1.178448e-06 9.431053e-02 2.716994e-08
1.250000e+00 6.746000e-01 6.424762e-01 5.000000e-02 7.183709e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180173e+01 4.628469e+04 7.183723e-03 9.879970e-02 3.640763e-04
1.250000e+00 1.734000e-01 1.651429e-01 5.000000e-02 6.207582e-12 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 4.238947e+07 6.207595e-06 9.452288e-02 1.452512e-07
1.250000e+00 6.699000e-02 6.380000e-02 5.000000e-02 1.931401e-14 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 5.870320e+09 1.931405e-08 9.492598e-02 3.862017e-10
1.250000e+00 2.986000e-01 2.843809e-01 5.000000e-02 1.526349e-10 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.745470e+06 1.526352e-04 9.586080e-02 3.750755e-06
1.250000e+00 5.141000e-01 4.896191e-01 5.000000e-02 2.739891e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180194e+01 1.803561e+05 2.739896e-03 9.698685e-02 8.829933e-05
