# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_selection eff_final
2.000000e-02 3.501000e-01 2.500000e-01 4.004000e-01 5.513363e+00 2.123901e-05 1.000000e+00 1.000000e-02 1.061950e-05 6.954457e+00 1.572005e-13 6.217632e+02 1.164012e-01 1.164012e-01
2.000000e-02 2.834000e-01 2.500000e-01 1.336000e-01 1.132802e+01 1.053654e-05 1.000000e+00 1.000000e-02 5.268271e-06 1.913800e+01 3.385082e-12 3.144056e+02 1.116363e-01 1.116363e-01
2.000000e-02 1.457000e+00 2.500000e-01 4.828000e+00 4.319717e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.473876e+01 2.806081e-16 4.319726e+01 4.336412e-02 4.336412e-02
2.000000e-02 1.897000e+00 2.500000e-01 6.588000e+00 1.066271e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.185816e+01 1.225068e-16 1.066273e+00 4.175060e-02 4.175060e-02
2.000000e-02 1.707000e+00 2.500000e-01 5.828000e+00 5.603780e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.211800e+01 1.702543e-16 5.603791e+00 4.236153e-02 4.236153e-02
2.000000e-02 4.102000e-01 2.500000e-01 6.408000e-01 2.286383e+00 3.032386e-05 1.000000e+00 1.000000e-02 1.516193e-05 1.058832e+01 4.629911e-14 5.256033e+02 1.049877e-01 1.049877e-01
2.000000e-02 8.149000e-01 2.500000e-01 2.259600e+00 1.525628e-02 1.748317e-04 1.000000e+00 1.000000e-02 8.741586e-05 3.057696e+01 1.972526e-15 1.165814e+02 5.787875e-02 5.787875e-02
2.000000e-02 1.382000e+00 2.500000e-01 4.528000e+00 7.974144e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.752598e+01 3.321720e-16 7.974160e+01 4.380702e-02 4.380702e-02
2.000000e-02 7.333000e-01 2.500000e-01 1.933200e+00 3.787815e-02 1.874810e-04 1.000000e+00 1.000000e-02 9.374052e-05 2.627686e+01 2.915443e-15 3.328461e+02 6.354159e-02 6.354159e-02
2.000000e-02 1.179000e+00 2.500000e-01 3.716000e+00 4.360512e-04 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 5.552209e+01 5.558546e-16 4.360521e+02 4.588153e-02 4.588153e-02
2.000000e-02 1.311000e+00 2.500000e-01 4.244000e+00 1.433947e-04 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 4.229224e+01 3.935160e-16 1.433950e+02 4.460221e-02 4.460221e-02
2.000000e-02 6.598000e-01 2.500000e-01 1.639200e+00 8.966713e-02 1.411876e-04 1.000000e+00 1.000000e-02 7.059380e-05 2.099147e+01 4.397485e-15 4.468548e+02 7.008036e-02 7.008036e-02
2.000000e-02 8.591000e-01 2.500000e-01 2.436400e+00 9.362038e-03 1.528248e-04 1.000000e+00 1.000000e-02 7.641240e-05 3.142019e+01 1.632004e-15 5.466357e+01 5.521781e-02 5.521781e-02
2.000000e-02 5.631000e-01 2.500000e-01 1.252400e+00 3.001248e-01 8.425201e-05 1.000000e+00 1.000000e-02 4.212601e-05 1.439767e+01 8.587199e-15 5.326017e+02 8.091115e-02 8.091115e-02
2.000000e-02 2.988000e-01 2.500000e-01 1.952000e-01 1.103521e+01 1.275112e-05 1.000000e+00 1.000000e-02 6.375562e-06 1.269744e+01 1.115094e-12 4.485570e+02 1.177573e-01 1.177573e-01
2.000000e-02 3.691000e-01 2.500000e-01 4.764000e-01 4.153655e+00 2.354255e-05 1.000000e+00 1.000000e-02 1.177128e-05 9.165724e+00 9.956899e-14 5.755427e+02 1.133297e-01 1.133297e-01
2.000000e-02 6.258000e-01 2.500000e-01 1.503200e+00 1.374624e-01 1.192269e-04 1.000000e+00 1.000000e-02 5.961344e-05 1.840297e+01 5.454683e-15 4.885087e+02 7.387633e-02 7.387633e-02
2.000000e-02 1.619000e+00 2.500000e-01 5.476000e+00 1.169592e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.251666e+01 2.010298e-16 1.169594e+01 4.285518e-02 4.285518e-02
