# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length N_events scatt_det
3.609000e-02 1.194000e-01 6.037406e-04 9.423617e-04 1.332700e-03 1.000000e-04 9.423613e-04 6.578951e+00 1.750454e-06 5.361491e+02 1.000000e+00
2.687000e-01 1.425000e-02 1.932166e-34 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 4.452612e+30 1.932697e-46 5.254013e-02
1.489000e-01 1.805000e-02 7.071321e-32 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.268305e+29 7.073263e-44 3.756097e-02
2.000000e-02 3.665000e-02 2.651046e-03 4.466725e-04 6.316903e-04 1.000000e-04 4.466725e-04 6.060404e+00 1.026835e-04 5.289269e+02 1.000000e+00
1.489000e-01 3.888000e-01 2.521569e-06 9.879065e-03 1.397043e-02 1.000000e-04 9.878583e-03 1.724300e+01 8.142645e-09 2.460948e+02 1.000000e+00
4.062000e-02 1.266000e-02 9.809307e-29 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 3.958888e+27 9.812000e-41 1.571110e-02
1.176000e-01 8.377000e-02 2.365433e-19 6.601088e-09 9.335348e-09 1.000000e-04 6.601088e-09 3.180203e+01 3.579924e+17 1.030722e-23 3.051401e-02
8.751000e-01 4.642000e-02 1.732298e-35 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.343232e+30 1.732774e-47 1.128054e-01
7.776000e-01 2.285000e-02 6.608500e-37 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 2.935198e+31 6.610315e-49 1.036433e-01
4.571000e-02 7.444000e-02 4.003913e-04 1.115826e-03 1.578016e-03 1.000000e-04 1.115826e-03 6.835453e+00 1.185611e-05 4.985146e+02 1.000000e+00
7.330000e-02 8.377000e-02 1.076769e-04 1.984203e-03 2.806082e-03 1.000000e-04 1.984199e-03 9.947690e+00 3.312749e-05 4.239306e+02 1.000000e+00
