# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events
1.250000e+00 5.848000e-02 5.569524e-02 5.000000e-02 2.082301e-10 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180200e+01 7.940427e+07 2.082305e-04
1.250000e+00 8.790000e-02 8.371428e-02 5.000000e-02 2.779109e-09 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180164e+01 8.836553e+06 2.779115e-03
1.250000e+00 3.396000e-02 3.234286e-02 5.000000e-02 3.641811e-12 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 2.426644e+09 3.641818e-06
1.250000e+00 2.606000e-01 2.481905e-01 5.000000e-02 1.819075e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.154178e+01 3.480927e+04 1.819079e+00
1.250000e+00 6.699000e-02 6.380000e-02 5.000000e-02 4.869442e-10 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180196e+01 3.756178e+07 4.869451e-04
1.250000e+00 5.105000e-02 4.861905e-02 5.000000e-02 7.994939e-11 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180202e+01 1.722560e+08 7.994955e-05
1.250000e+00 2.986000e-01 2.843809e-01 5.000000e-02 3.641350e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.129506e+01 1.758602e+04 3.641357e+00
1.250000e+00 2.259000e-02 2.151429e-02 5.000000e-02 9.341072e-15 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 6.766062e+11 9.341091e-09
1.250000e+00 5.141000e-01 4.896191e-01 5.000000e-02 1.533383e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 2.968311e+01 1.154227e+03 1.533386e+01
1.250000e+00 5.889000e-01 5.608572e-01 5.000000e-02 1.357762e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 2.993589e+01 5.845302e+02 1.357765e+01
1.250000e+00 8.852000e-01 8.430476e-01 5.000000e-02 7.563227e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.073625e+01 7.601541e+01 7.563242e+00
1.250000e+00 1.734000e-01 1.651429e-01 5.000000e-02 1.632764e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.177877e+01 2.713823e+05 1.632767e-01
1.250000e+00 4.457000e-02 4.244762e-02 5.000000e-02 3.103523e-11 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 3.877057e+08 3.103529e-05
1.250000e+00 3.891000e-02 3.705714e-02 5.000000e-02 1.256915e-11 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 9.245673e+08 1.256918e-05
1.250000e+00 4.488000e-01 4.274286e-01 5.000000e-02 1.449337e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 2.986571e+01 2.278855e+03 1.449340e+01
1.250000e+00 7.674000e-02 7.308571e-02 5.000000e-02 1.249254e-09 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180184e+01 1.809798e+07 1.249257e-03
1.250000e+00 6.746000e-01 6.424762e-01 5.000000e-02 1.060979e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.036337e+01 2.961990e+02 1.060981e+01
1.250000e+00 1.162000e+00 1.106667e+00 5.000000e-02 3.708490e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.126921e+01 1.949089e+01 3.708497e+00
1.250000e+00 1.007000e-01 9.590476e-02 5.000000e-02 6.389142e-09 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180111e+01 4.356115e+06 6.389155e-03
