# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events
2.000000e-02 5.341000e-01 2.500000e-01 1.136400e+00 4.304311e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.834842e+01 1.093671e-14 4.304319e+01
2.000000e-02 5.631000e-01 2.500000e-01 1.252400e+00 3.011427e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.941318e+01 8.586784e-15 3.011433e+01
2.000000e-02 1.457000e+00 2.500000e-01 4.828000e+00 4.639040e-09 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180227e+01 2.806109e-16 4.639049e-03
2.000000e-02 8.591000e-01 2.500000e-01 2.436400e+00 9.682807e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.178709e+01 1.631866e-15 9.682826e-01
2.000000e-02 3.891000e-01 2.500000e-01 5.563999e-01 3.071008e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 1.299990e+01 6.654852e-14 3.071014e+02
2.000000e-02 4.324000e-01 2.500000e-01 7.296000e-01 1.689745e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 1.941422e+01 3.326999e-14 1.689748e+02
2.000000e-02 5.066000e-01 2.500000e-01 1.026400e+00 6.158668e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.677272e+01 1.409889e-14 6.158680e+01
2.000000e-02 3.501000e-01 2.500000e-01 4.004000e-01 5.521372e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 7.509507e+00 1.572020e-13 5.521383e+02
2.000000e-02 4.559000e-01 2.500000e-01 8.236001e-01 1.222130e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.249699e+01 2.448901e-14 1.222133e+02
2.000000e-02 8.149000e-01 2.500000e-01 2.259600e+00 1.543706e-06 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.176472e+01 1.972520e-15 1.543709e+00
